Do, 01.05 2025			Tag der Arbeit					
Fr, 02.05 2025	09:00	R	Full Focus auf ManualPath Dev, reproduzierbare KI-Vorgehen, umfassende Dokumentation	[Siehe: Anforderungen geklärt, Scope definiert, Implementierungsplan erstellt, Lessons Learned dokumentiert, Test- und Verifikationsstrategie festgelegt]
Sa, 03.05 2025								
So, 04.05 2025								
Mo, 05.05 2025	10:00	R	JF SSE, Release 3.1 Planung, Integrity Analyse, Jira Progress Pflege, UI Group, Bug:zip/gzip/nozip, Coding US 387	[Siehe: Architektur- und Servicekontext dokumentiert, Guidelines aktualisiert]
Di, 06.05 2025	11:00	R	Prep Maurizio, HIS Demo 6, Bugs: PL-List & Unexp. API Error, Prep Prio Meeting, Dev 387, R3 Rollout Coord., Manual/Release Notes Check, Onur RL und WSL, OpenShift verstehen, yaml/cicd verstehen, docker image bauen, prepare new deployment	[Siehe: Troubleshooting-Strategie, Cross-Layer-Checklisten, Nachweis- und QA-Vorbereitung]
Mi, 07.05 2025	10:00		Rollout to dev	[Siehe: Plan umgesetzt, Guidelines und Dokumentation gepflegt]
Do, 08.05 2025	08:00		Guidelines und Dokumentation für ManualPath-Feature überarbeitet, Servicekontext ergänzt, Nachweisstruktur verbessert
Fr, 09.05 2025	08:00		Prep QA Weekly, Durchf. QA Weekly, neue Testfeatures planen, RS Gerät Update, VSCode installieren,	[Siehe: Testplanung, QA-Features, Tooling und Testumgebung abgestimmt]
Sa, 10.05 2025	07:30							
So, 11.05 2025								
Mo, 12.05 2025	09:00		Lessons Learned und Post-Mortem zu ManualPath-Implementierung erstellt, Best Practices dokumentiert
Di, 13.05 2025	10:00		Test- und Verifikationsstrategie für ManualPath-Feature ausgearbeitet, Troubleshooting-Checklisten ergänzt
Mi, 14.05 2025	09:00		Ticket Status prüfen, Sharepoint Rechte, HIS US Review, R3 Meeting, Devtalk Weekly, Push/MR User Manual, selfHeal Problem erneut,	[Siehe: Review, Status- und Rechteprüfung, User Manual aktualisiert, Self-Heal Debugging]
Do, 15.05 2025	08:30							
Fr, 16.05 2025	10:00							
Sa, 17.05 2025	08:00							
So, 18.05 2025								
Mo, 19.05 2025	10:00							
Di, 20.05 2025	10:00							
Mi, 21.05 2025	10:00							
Do, 22.05 2025	10:00							
Fr, 23.05 2025	10:00							
Sa, 24.05 2025	08:00							
So, 25.05 2025								
Mo, 26.05 2025	10:00							
Di, 27.05 2025	10:00							
Mi, 28.05 2025	10:00							
Do, 29.05 2025	10:00							
Fr, 30.05 2025	10:00							
Sa, 31.05 2025	08:00
